source_id,ra,dec,pmra,pmdec,parallax_error,phot_g_n_obs,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
2056927393603295488,308.44334597426695,36.39121319252806,NULL,NULL,NULL,198,20.698324,NULL,NULL
2056928630552847744,308.41876975143737,36.46061019077739,NULL,NULL,NULL,42,21.17633,NULL,NULL
2056929249022890624,308.4823972012646,36.45878467185025,NULL,NULL,NULL,126,18.683424,NULL,NULL
2056929764422642304,308.56102760402496,36.53778981088655,NULL,NULL,NULL,44,21.165434,NULL,NULL
2056929798778705152,308.5231086358699,36.50851468500631,NULL,NULL,NULL,100,20.980646,NULL,NULL
2056929970579899264,308.5539701645876,36.532920230587195,NULL,NULL,NULL,42,21.087397,NULL,NULL
2056930795211838592,308.5320505987421,36.56136621326148,NULL,NULL,NULL,235,20.825392,NULL,NULL
2056931104448825600,308.4866290884016,36.591401510041095,NULL,NULL,NULL,72,20.850365,NULL,NULL
2056931173171984512,308.1418449756679,36.25065859690031,NULL,NULL,NULL,71,21.055447,NULL,NULL
2056933062955629568,308.1618273318376,36.38811043939344,NULL,NULL,NULL,82,19.883984,NULL,NULL
2056933406554816256,308.24833583028897,36.356238450056665,NULL,NULL,NULL,44,21.252726,NULL,19.570374
2056935296339480960,308.21553808587544,36.45722357147491,NULL,NULL,NULL,0,NULL,NULL,20.20494
2056935605573719168,308.0715257978108,36.35041516839742,NULL,NULL,NULL,96,20.57053,NULL,NULL
2056935674296691712,308.0600375187942,36.35928179834436,NULL,NULL,NULL,77,20.910606,NULL,20.292915
2056936189691865728,308.09030987241573,36.395925918673875,NULL,NULL,NULL,45,20.432243,NULL,NULL
2056936773806579968,308.0227154569664,36.41105497133955,NULL,NULL,NULL,68,20.306929,NULL,NULL
2056937564084209536,308.0306140851515,36.468947606719475,NULL,NULL,NULL,0,NULL,NULL,17.627441
2056938594878293376,308.160442937105,36.506480918724336,NULL,NULL,NULL,35,20.451473,NULL,NULL
2056939488226035328,308.1340269626034,36.53919178219371,NULL,NULL,NULL,112,20.761194,NULL,NULL
2056940828257304832,308.34574761904014,36.51638788890591,NULL,NULL,NULL,0,NULL,NULL,20.156893
2056941545516994688,308.2593128502833,36.54044921537387,NULL,NULL,NULL,0,NULL,NULL,19.688515
2056941957837542144,308.2819722472093,36.56271891333892,NULL,NULL,NULL,0,NULL,NULL,19.68016
2056943267796266880,308.3671156947544,36.571341741585535,NULL,NULL,NULL,78,20.854519,NULL,NULL
2056944951423493376,308.2846802189986,36.593807974237066,NULL,NULL,NULL,59,20.9853,NULL,NULL
2056945977926293376,308.18083128117684,36.64318406209526,NULL,NULL,NULL,0,NULL,NULL,19.580349
2056946154014370304,308.2606602241761,36.64801738362176,NULL,NULL,NULL,46,20.94212,NULL,NULL
2056947906361037056,308.30283602921605,36.718242182257505,NULL,NULL,NULL,0,NULL,NULL,NULL
2056949143319907328,307.6021552495654,36.107613155442344,NULL,NULL,NULL,53,19.41408,NULL,NULL
2056950036664116224,307.6143795461699,36.146688157765325,NULL,NULL,NULL,89,21.05714,NULL,NULL
2056952338771749504,307.6358236587788,36.2242356512493,NULL,NULL,NULL,43,21.076006,NULL,NULL
2056954194195395200,307.5647991879945,36.25716150429539,NULL,NULL,NULL,78,20.97328,NULL,20.088886
2056957733245426304,307.82296174473873,36.28420418517325,NULL,NULL,NULL,114,20.743916,NULL,NULL
2056958420443684736,307.826506932121,36.337123729437685,NULL,NULL,NULL,62,20.971497,NULL,NULL
2056959210718574592,307.792849851345,36.336792986213155,NULL,NULL,NULL,71,21.128489,NULL,NULL
2056959416876107392,307.8075061912914,36.38026736944518,NULL,NULL,NULL,67,21.089312,NULL,NULL
2056961718977697280,307.8643441305825,36.470870539948535,NULL,NULL,NULL,38,21.093359,NULL,NULL
2056965154954028032,307.8484237940065,36.533936629968785,NULL,NULL,NULL,41,21.144815,NULL,19.709208
2056965635994381824,307.7292716289541,36.534269474804326,NULL,NULL,NULL,60,19.899492,NULL,NULL
2056966082665356160,307.7680560810758,36.55633972057818,NULL,NULL,NULL,0,NULL,NULL,19.60593
2056966494984137088,307.4653546324824,36.26989472038575,NULL,NULL,NULL,62,21.163412,NULL,20.018648
2056966976018748032,307.4743056852603,36.31695536484139,NULL,NULL,NULL,48,21.168444,NULL,19.804302
2056967079102085632,307.51945949495365,36.33272567856875,NULL,NULL,NULL,43,21.130852,NULL,20.209412
2056968212970211712,307.4516556317401,36.36739646985126,NULL,NULL,NULL,0,NULL,NULL,19.920834
2056973813608103936,307.47431418195356,36.50605910240513,NULL,NULL,NULL,58,21.096996,NULL,NULL
2056976150065480064,307.6703459261518,36.53881596782419,NULL,NULL,NULL,130,20.768715,NULL,NULL
2056976287504460288,307.57684595097675,36.49612212010174,NULL,NULL,NULL,62,20.934319,NULL,NULL
2056978727050014336,307.63688654011827,36.596305567550814,NULL,NULL,NULL,0,NULL,NULL,NULL
2056979689124221184,307.54970255284354,36.54979057023364,NULL,NULL,NULL,42,21.117569,NULL,19.909172
2056983296898496896,307.59219626282993,36.722526775092085,NULL,NULL,NULL,89,19.648054,NULL,NULL
2056985461562525568,307.9265334101358,36.53246057605434,NULL,NULL,NULL,135,15.083304,NULL,NULL
2056985530276311168,307.910289643197,36.540396440128355,NULL,NULL,NULL,62,21.054724,NULL,NULL
2056985564637541120,307.9218942073344,36.558183427278884,NULL,NULL,NULL,94,20.645632,NULL,NULL
2056985908236083200,307.9520620114621,36.56193112427006,NULL,NULL,NULL,78,20.932646,NULL,NULL
