archive_id,archive_name,num_plates
1,Zeiss Triplet (Potsdam),4921
2,Carte du Ciel (Potsdam),979
3,Great Schmidt Camera (Potsdam),508
4,Small Schmidt Camera (Potsdam),113
5,Ross Camera (Potsdam),64
6,Einstein Turm Solar Plates,3613
101,Lippert-Astrograph (Hamburg),8750
102,Grosser Schmidt-Spiegel (Hamburg),5323
103,1m-Spiegelteleskop (Hamburg),7643
104,Hamburger Schmidt-Spiegel (Calar Alto),3255
105,AG-Teleskop (Bonn),754
106,AG-Teleskop (Hamburg),3529
107,Doppel-Reflektor (Hamburg),1642
108,ESO telescopes (La Silla),2099
109,Grosser Refraktor (Hamburg),2602
110,Kleiner Schmidt-Spiegel II (Hamburg),1566
111,Schmidtsches Spiegelteleskop (Hamburg),1746
202,Metcalf Telescope (South Africa),2718
203,Bamberg Southern Sky Patrol (South Africa),12565
204,Bamberg Southern Sky Patrol (New Zealand),5266
205,Bamberg Southern Sky Patrol (Argentina),870
206,Zeiss Objective (South Africa),694
207,Ross B Camera (South Africa),698
208,"Astrograph, Bamberg Northern Sky Patrol",18865
301,Tartu Old Observatory,2275
401,Tautenburg Schmidt Telescope,4101
501,Zeiss Double Astrograph,544
